"trial","xdat","lat","fstCorrect","ErrCorr","AS","Count","Desc","id","respuesta","estimulo"
58,133,149,FALSE,TRUE,"AS",2,"",2016,"incorrect","food"
59,132,240,FALSE,FALSE,"AS",0,"",2016,"incorrect","neutral"
60,132,317,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
61,133,149,FALSE,TRUE,"AS",2,"",2016,"incorrect","neutral"
62,132,302,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
63,132,255,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
64,132,181,TRUE,FALSE,"AS",1,"",2016,"correct","food"
65,132,147,TRUE,FALSE,"AS",1,"",2016,"correct","food"
66,133,108,FALSE,TRUE,"AS",2,"",2016,"incorrect","neutral"
67,132,267,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
68,133,211,TRUE,FALSE,"AS",1,"",2016,"correct","food"
69,132,164,TRUE,FALSE,"AS",1,"",2016,"correct","food"
70,133,127,FALSE,TRUE,"AS",2,"",2016,"incorrect","food"
71,133,NA,FALSE,FALSE,"AS",-1,"moving (4.279 px/60Hz) before target onset",2016,"drop","neutral"
72,132,NA,FALSE,FALSE,"AS",-1,"moving (14.615 px/60Hz) before target onset",2016,"drop","neutral"
73,132,NA,FALSE,FALSE,"AS",-1,"moving (9.609 px/60Hz) before target onset",2016,"drop","neutral"
74,133,132,FALSE,TRUE,"AS",2,"",2016,"incorrect","neutral"
75,132,297,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
76,132,211,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
77,132,516,FALSE,FALSE,"AS",0,"",2016,"incorrect","food"
78,132,492,FALSE,TRUE,"AS",2,"",2016,"incorrect","food"
79,132,169,TRUE,FALSE,"AS",1,"",2016,"correct","food"
80,133,120,FALSE,TRUE,"AS",2,"",2016,"incorrect","food"
81,132,226,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
82,132,NA,FALSE,FALSE,"AS",-1,"moving (4.361 px/60Hz) before target onset",2016,"drop","food"
83,132,312,TRUE,FALSE,"AS",1,"",2016,"correct","food"
84,132,796,FALSE,FALSE,"AS",0,"",2016,"incorrect","neutral"
85,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(188.737500) is off from baseline(130.500000)!",2016,"drop","food"
86,132,201,TRUE,FALSE,"AS",1,"",2016,"correct","food"
87,133,NA,FALSE,FALSE,"AS",-1,"moving (19.450 px/60Hz) before target onset",2016,"drop","food"
88,133,255,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
89,132,213,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
90,132,285,TRUE,FALSE,"AS",1,"",2016,"correct","food"
91,132,85,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
92,133,NA,FALSE,FALSE,"AS",-1,"moving (16.070 px/60Hz) before target onset",2016,"drop","neutral"
93,133,376,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
94,132,NA,FALSE,FALSE,"AS",-1,"moving (5.904 px/60Hz) before target onset",2016,"drop","neutral"
95,132,243,TRUE,FALSE,"AS",1,"",2016,"correct","food"
96,133,309,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
97,133,139,FALSE,TRUE,"AS",2,"",2016,"incorrect","food"
98,132,NA,FALSE,FALSE,"AS",-1,"moving (5.431 px/60Hz) before target onset",2016,"drop","neutral"
99,132,216,TRUE,FALSE,"AS",1,"",2016,"correct","food"
100,133,81,FALSE,TRUE,"AS",2,"",2016,"incorrect","food"
1,132,235,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
2,133,181,FALSE,TRUE,"AS",2,"",2771,"incorrect","neutral"
3,132,149,FALSE,TRUE,"AS",2,"",2771,"incorrect","neutral"
4,133,223,TRUE,FALSE,"AS",1,"",2771,"correct","food"
5,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(77.112500) is off from baseline(130.500000)!",2771,"drop","neutral"
6,132,NA,FALSE,FALSE,"AS",-1,"no saccades (getSacs)",2771,"drop","food"
7,133,202,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
8,133,392,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
9,133,280,TRUE,FALSE,"AS",1,"",2771,"correct","food"
10,133,253,TRUE,FALSE,"AS",1,"",2771,"correct","food"
11,132,135,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
12,132,376,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
13,133,NA,FALSE,FALSE,"AS",-1,"no good saccades",2771,"drop","neutral"
14,133,349,TRUE,FALSE,"AS",1,"",2771,"correct","food"
15,132,140,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
